YearMonthKey,ItemCode,ItemDescription,ItemCategory,ItemSize,TotalInventory,Price,StockValue,SnapshotDate
202509,54242,KENT COB HAZELNUT WHISKEY 750ML,DOMESTIC LIQUOR SPECIALTY,750ML,0,34.99,0.0,2025-09-18
202509,32040,ESTRELLA DAMM DAURA GLUTEN FREE LAGER - 12.0Z (6-Pack),IMPORTED BOTTLE BEER,6pk,0,16.99,0.0,2025-09-18
202509,237222,TOLAINI VALLENUOVA CHIANTI CLASSICO - 750ML,ITALIAN RED WINE,750ML,276,28.99,8001.24,2025-09-18
202509,44501,LAYER CAKE PRIMITIVO 750ML,ITALIAN RED WINE,750ML,0,16.99,0.0,2025-09-18
202509,236866,MCCLINTOCK RES COGNAC FINISHED GIN - 750ML,DOMESTIC GIN,750ML,0,61.99,0.0,2025-09-18
202509,71624,JACK DANIELS BLACK - W/T GLASS - 750ML,SOUR MASH WHISKEY,750ML,0,25.99,0.0,2025-09-18
202509,239504,LYON DISTILLING COMPANY ROCK & RUM - 750ML,DOMESTIC RUM FLAVORS,750ML,0,39.99,0.0,2025-09-18
202509,72169,KETEL ONE BOTANICAL GRAPEFRUIT ROSE  -  RTD- - 355ML (4-Pack),SESSION RTD,4pk,0,15.99,0.0,2025-09-18
202509,297202,BLOODROOT PINOT NOIR 750ML,AMERICAN RED,750ML,0,25.99,0.0,2025-09-18
202509,170670,CARNET D'INVITATION IGP MED ROUGE 750ML (1 Bottle),FRANCE-OTHER,750ML,1188,9.99,11868.12,2025-09-18
202509,170429,SAGAMORE SPIRIT MANHATTAN FINISH RYE WHISKEY - 750ML,STRAIGHT RYE WHISKEY,750ML,0,72.99,0.0,2025-09-18
202509,44250,ALMA NEGRA RED - 750ML,ARGENTINA,750ML,0,23.99,0.0,2025-09-18
202509,47445,VAN GOGH VODKA - ACAI BLUEBERRY - 750ML,IMPORTED VODKA FLAVORS,750ML,0,23.99,0.0,2025-09-18
202509,19008,OLD LINE CASE 1 VODKA 750ML,DOMESTIC VODKA,750ML,0,19.99,0.0,2025-09-18
202509,91568,-196 LEMON RTD 6/4 355ML (4-Pack),SESSION RTD,4pk,216,11.99,2589.84,2025-09-18
202509,75009,BAILEYS ALMANDE - 750ML,IMPORTED CORDIALS,750ML,0,31.99,0.0,2025-09-18
202509,80856,STIRRINGS DIRTY MARTINI MIX - 12.0Z,NON-ALCOHOLIC MIXERS,12.0Z,222,4.99,1107.78,2025-09-18
202509,86056,EDNA VALLEY S/BLC - 750ML,AMERICAN WHITE,750ML,120,14.99,1798.8,2025-09-18
202509,97104,EVOLUTION PINEHOPLE IPA - 120Z - 12.0Z (6-Pack),DOMESTIC BOTTLE BEER,6pk,0,9.92,0.0,2025-09-18
202509,52698,NICOLAS SELECT VOUVRAY LOIRE - 750ML,LOIRE VALLEY WINE,750ML,36,14.99,539.64,2025-09-18
202509,89766,GIN & JUICE COCKT MIX PK (DRE/SNOOP) 3/8PK - 355ML (8-Pack),SESSION RTD,8pk,0,25.99,0.0,2025-09-18
202509,73058,FIREBALL CINNAMON WHISKY - 200ML,BLENDED WHISKEY,200ML,2640,3.99,10533.6,2025-09-18
202509,439010,LIBERTY CREEK SWEET RED - 1.5L,AMERICAN RED,1.5L,72,10.99,791.28,2025-09-18
202509,347945,LINE 39 EXCURSION RED BLEND - 750ML,AMERICAN TABLE WINE,750ML,0,10.99,0.0,2025-09-18
