"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"43270","IMPORTED CORDIALS","JINRO CHAMISOL SOJU (FRESH) - 375ML","375ML","0","$6.99",,
"167670","DOMESTIC VODKA","RIEGERS PREMIUM WHEAT VODKA 750ML","750ML","0","$28.99",,
"36048","IMPORTED VODKA","ABSOLUT VODKA - 80 PROOF - 1.75L","1.75L","582","$44.99",,
"67709","ITALIAN WHITE WINE","MEZZACORONA P/GRIGIO - 750ML","750ML","192","$12.99",,
"69280","TEQUILA","GRAN CENTENARIO REPOSADA - 750ML","750ML","0","$32.99",,
"48415","BLENDED WHISKEY","COMPASS BOX PEAT MONSTER BLENDED MALT SCOTCH WHISKY - 750ML","750ML","0","$89.99",,
"88872","DOMESTIC VODKA","IRVINE'S PRECISION DISTILLED VODKA - 750ML","750ML","0","$18.99",,
"168106","AMERICAN RED","BLACKBOARD MERLOT 750ML","750ML","0","$23.99",,
"358036","DOMESTIC RUM","LOST ARK VERAZZANO TSTD HAZELNUT & COFFEE RUM - 750ML","750ML","0","$37.99",,
"243941","ITALIAN WHITE WINE","RIONDO PROSECCO EXTRA DRY - 187ML","187ML","0","$5.99",,
"167669","BLENDED WHISKEY","RIEGERS KC WHISKEY 92 PROOF 750ML","750ML","0","$48.99",,
"338914","AMERICAN RED","RABBLE PASO ROBLES CAB - 750ML","750ML","0","$21.99",,
"61123","IMPORTED BRANDY","METAXA BRANDY - GRAND FINE - 750ML","750ML","0","$54.99",,
"246204","SESSION RTD","SURFSIDE VODKA TEA - 6/4PK RTD 12OZ CAN - 12.0Z (4-Pack)","4pk","13416","$8.99",,
"241517","IMPORTED RUM FLAVORS","MALIBU STRAWBERRY - 750ML","750ML","0","$22.99",,
"330850","AMERICAN RED","NOVELTY HILL CAB - 750ML","750ML","0","$33.99",,
"89884","IRISH WHISKEY","BUSHMILLS PRIVATE RESERVE 10YR BURGUNDY CASK - 750ML","750ML","0","$49.99",,
"86111","AMERICAN WHITE","ST SUPERY NAPA S/BLC - 750ML","750ML","0","$25.99",,
"89626","BLENDED WHISKEY","COMPASS BOX GLASGOW BLEND SCOTCH WHISKY - 750ML","750ML","0","$41.99",,
"42240","ITALIAN RED WINE","VOLPAIA CHIANTI CLS - 750ML","750ML","0","$34.99",,
"241022","DOMESTIC VODKA","STEEL BLU GLUTEEN FREE VODKA - 750ML","750ML","0","$17.99",,
"70454","BLENDED WHISKEY","JIM BEAM - VANILLA 750ML","750ML","0","$17.99",,
"89438","TEQUILA","CASA DRAGONES ANEJO TEQ (BOX) - 750ML","750ML","0","$185.99",,
"30983","MALT BASE COOLERS","JIM BEAM KY COOLER 2/12 VP CAN - 12.0Z (12-Pack)","12pk","0","$19.99",,
"89062","IMPORTED RUM","ARTHUR WHEELER SPIRITS CO SIGNATURE CARIBBEAN RUM - 750ML","750ML","0","$38.99",,
"240920","AMERICAN RED","IN SHEEP'S CLOTHING CAB - 750ML","750ML","360","$22.99",,
"241710","DOMESTIC GIN","INDOGGO GIN - 750ML","750ML","0","$18.99",,
"21725","ITALIAN RED WINE","MONTE ANTICO ROSSO 750ML","750ML","240","$17.99",,
"170771","TEQUILA","CAZCANES NO.7 ANEJO - 750ML","750ML","0","$158.99",,
"52876","AMERICAN WHITE","KENWOOD SONOMA CHARD - 750ML","750ML","216","$16.99",,
"72170","DOMESTIC VODKA","DEEP EDDY VODKA - ORIGINAL - 50ML","50ML","0","$1.49",,
"42064","DOMESTIC CORDIALS","BOL'S TRIPLE SEC 42 PROOF - 1L","1L","864","$9.99",,
"245064","AMERICAN RED","HESS MAVERICK RANCH CABERNET SAUVIGNON - 750ML","750ML","0","$21.99",,
"300662","BLENDED WHISKEY","DR STONERS SMOKY HERB WHISKEY - 750ML","750ML","0","$29.99",,
"47587","PRE-MIX COCKTAILS","SKINNYGIRL WHITE CRANBERRY COSMO - 750ML","750ML","0","$12.99",,
"361292","DOMESTIC VODKA FLAVORS","BOYD & BLAIR POMEGRANATE CODDER - 1L - 1LTR","1LTR","0","$32.99",,
"42627","SOUR MASH WHISKEY","ST GEORGE SINGLE MALT WHISKEY LOT 21 - 750ML","750ML","0","$84.99",,
"170504","AMERICAN WHITE","MATERRA SAUV BLANC 750ML","750ML","0","$34.99",,
"42693","ASIAN","HEAVENSAKE JUNMAI GINJO (BLUE BABY) SAKE - 300ML","300ML","0","$22.99",,
"42349","SPARKLING","ST HILAIRE SPARK SEMI SW - 750ML","750ML","0","$15.99",,
"70494","DOMESTIC VODKA FLAVORS","SVEDKA PEACH VODKA - 750ML","750ML","0","$12.99",,
"73094","IMPORTED VODKA FLAVORS","CIROC VODKA - MANGO - 1.75L","1.75L","0","$56.99",,
"309791","ITALIAN WHITE WINE","RUFFINO LUMINA P/GRIG - 1.5L (1 Bottle)","1.5L","324","$19.99","$16.99","09/30/2025"
"7617","DOMESTIC BOTTLE BEER","MICHELOB ULTRA 4/6 NR - 12.0Z (6-Pack)","6pk","10776","$9.99",,
"309096","NON-ALCOHOLIC MIXERS","REGAN ORANGE BITTER 12/CS - 5OZ - 5.0Z","5.0Z","780","$7.99",,
"381041","MISCELLANEOUS IMPORTED SPIRITS","ELEMENT IRISH WHISKEY FUSION R/1.0 6/700ML","700ML","0","$63.99",,
"348350","AUSTRALIAN","19 CRIMES THE PUNISHMENT P/NOIR - 750ML","750ML","72","$12.99",,
"42644","BLENDED WHISKEY","OLD ELK ARMAGNAC CASK FINISH BLENDED STRAIGHT BOURB WHISKEY - 750ML","750ML","0","$107.99",,
"168013","DOMESTIC CORDIALS","SONO BLAZE ESPRESSO MARTINI 24/3PK 50ML (3-Pack)","3pk","0","$14.99",,
"14268","STRAIGHT BOURBON WHISKEY","JIM BEAM ORANGE 750ML","750ML","0","$19.99",,
