MonthDate,YearMonthKey,ISR_SA,ISR_NSA,Gap_abs,Gap_pct
2007-02-01,200702,1.49,1.66,-0.16999999999999993,-10.240963855421684
2007-03-01,200703,1.47,1.45,0.020000000000000018,1.3793103448275874
2007-04-01,200704,1.49,1.53,-0.040000000000000036,-2.6143790849673225
2007-05-01,200705,1.47,1.39,0.08000000000000007,5.755395683453243
2007-06-01,200706,1.5,1.45,0.050000000000000044,3.448275862068969
2007-07-01,200707,1.5,1.45,0.050000000000000044,3.448275862068969
2007-08-01,200708,1.49,1.39,0.10000000000000009,7.1942446043165535
2007-09-01,200709,1.49,1.57,-0.08000000000000007,-5.0955414012738895
2007-10-01,200710,1.48,1.58,-0.10000000000000009,-6.329113924050639
2007-11-01,200711,1.46,1.55,-0.09000000000000008,-5.806451612903231
2007-12-01,200712,1.49,1.27,0.21999999999999997,17.32283464566929
2008-01-01,200801,1.48,1.6,-0.1200000000000001,-7.500000000000007
2008-02-01,200802,1.5,1.61,-0.1100000000000001,-6.832298136645969
2008-03-01,200803,1.48,1.49,-0.010000000000000009,-0.671140939597316
2008-04-01,200804,1.49,1.51,-0.020000000000000018,-1.3245033112582794
2008-05-01,200805,1.47,1.38,0.09000000000000008,6.521739130434789
2008-06-01,200806,1.47,1.44,0.030000000000000027,2.0833333333333353
2008-07-01,200807,1.48,1.41,0.07000000000000006,4.964539007092203
2008-08-01,200808,1.49,1.41,0.08000000000000007,5.6737588652482325
2008-09-01,200809,1.51,1.58,-0.07000000000000006,-4.430379746835446
2008-10-01,200810,1.56,1.66,-0.09999999999999987,-6.024096385542161
2008-11-01,200811,1.61,1.72,-0.10999999999999988,-6.395348837209296
2008-12-01,200812,1.62,1.36,0.26,19.11764705882353
2009-01-01,200901,1.57,1.67,-0.09999999999999987,-5.9880239520958005
2009-02-01,200902,1.55,1.72,-0.16999999999999993,-9.883720930232553
2009-03-01,200903,1.57,1.58,-0.010000000000000009,-0.6329113924050638
2009-04-01,200904,1.54,1.55,-0.010000000000000009,-0.6451612903225812
2009-05-01,200905,1.5,1.43,0.07000000000000006,4.895104895104899
2009-06-01,200906,1.45,1.41,0.040000000000000036,2.8368794326241162
